Time [s],input,useful,fir_out,iir_out
5.899999999999999689e-02,-1.440996739409849958e+00,-6.548871294432800916e-01,2.280059187787151359e-03,-9.118606796711126172e-01
5.999999999999999778e-02,-5.316679132961419363e-01,-2.853169548885486906e-01,3.164267719112897823e-03,-6.481262188154716108e-01
6.099999999999999867e-02,1.535467142449531419e-01,-2.429277433176488810e-01,4.842177452079743025e-03,-3.994420598430669656e-01
6.199999999999999956e-02,-1.515740600737098376e+00,-5.128260558965131999e-01,5.780695406648620784e-03,-1.966405631528700404e-01
6.300000000000000044e-02,-1.005673327077094559e+00,-8.951111766279609139e-01,5.838685560357375660e-03,-5.651328719193896566e-01
6.400000000000000133e-02,-8.731379277287748542e-01,-1.115132610827928472e+00,5.779025780825976927e-03,-7.786075596386183850e-01
6.500000000000000222e-02,-1.451440151652941823e+00,-9.747565557815558446e-01,6.693007118911908047e-03,-6.764607773591195805e-01
6.600000000000000311e-02,-1.406605956612873298e-01,-4.625608054355102583e-01,8.502854051175037092e-03,-4.776491745486237672e-01
6.700000000000000400e-02,5.483639505162701822e-01,2.368734405447085745e-01,9.540533630852294361e-03,1.696081383921728414e-01
6.800000000000000488e-02,-2.253492695421396852e-01,8.397194350162648924e-01,9.248870776627910600e-03,7.508878215693088887e-01
6.900000000000000577e-02,1.803006607550216023e+00,1.113380367075154087e+00,9.171117856194000578e-03,1.038089986168346357e+00
7.000000000000000666e-02,5.640395667648305800e-01,9.992349288972051102e-01,1.015505638390513075e-02,1.382323407492663359e+00
7.099999999999999367e-02,-1.806672059434948630e-01,6.412353639264055660e-01,1.214062287870027769e-02,1.131088947358506402e+00
7.199999999999999456e-02,1.629448600377148892e+00,3.049686555589659065e-01,1.351156420155347725e-02,7.274681408500764945e-01
7.299999999999999545e-02,-1.617982422556775990e-01,2.311577759884603234e-01,1.295763489472282794e-02,7.983315847507225227e-01
7.399999999999999634e-02,3.128701710924506330e-01,5.031042765786000182e-01,1.241168654735881269e-02,5.863390809987285568e-01
7.499999999999999722e-02,1.913763531280294306e+00,9.999999999999934497e-01,1.347835627240539895e-02,6.086362374731397740e-01
7.599999999999999811e-02,9.529955787386226174e-01,1.461470224878767654e+00,1.534084339232296909e-02,1.147724597036917871e+00
7.699999999999999900e-02,1.218154894961824164e+00,1.628395195788042038e+00,1.637178933983661488e-02,1.238807609599642534e+00
7.799999999999999989e-02,2.466259758084565323e+00,1.383687195445072238e+00,1.571833206114114576e-02,1.240965625922513027e+00
7.900000000000000078e-02,1.251424305657667102e-01,8.167018909164289742e-01,1.462177984744488998e-02,1.209359009442176891e+00
8.000000000000000167e-02,5.581916952556752465e-01,1.763355756877437175e-01,1.556531221942173207e-02,5.041347497806751843e-01
8.100000000000000255e-02,2.056220540563625243e-01,-2.618217839450069362e-01,1.771846459048198250e-02,-1.537241246649598270e-01
8.200000000000000344e-02,-1.088850126874875590e+00,-3.423396606865563019e-01,1.853334506638610810e-02,-5.759049233593351858e-01
8.300000000000000433e-02,2.522959757114787704e-01,-1.112924014860853933e-01,1.726298882006232355e-02,-8.983946348077599398e-01
8.400000000000000522e-02,7.754125833979281790e-01,2.118943383068944697e-01,1.552542419359213659e-02,-5.085664033152819119e-01
8.500000000000000611e-02,-7.517278109305557399e-01,3.567225670316602759e-01,1.575309460739497333e-02,-1.178057386371284820e-01
