Frequency [Hz],FIR,IIR
1.782661782661782723e+01,1.370092571370551578e-02,-4.090900141054651384e-01
1.794871794871794890e+01,1.189886643065028726e-02,-3.985478158954713357e-01
1.807081807081807057e+01,1.017801019314882802e-02,-3.883343037083594185e-01
1.819291819291819223e+01,8.559527872912009103e-03,-3.784377027481073963e-01
1.831501831501831390e+01,7.059343221293317913e-03,-3.688467043724253380e-01
1.843711843711843557e+01,5.688603440552434352e-03,-3.595504465086948320e-01
1.855921855921855723e+01,4.454155573909366651e-03,-3.505384949000738826e-01
1.868131868131868245e+01,3.359023698183694496e-03,-3.418008251500762040e-01
1.880341880341880412e+01,2.402882079337030283e-03,-3.333278055324138123e-01
1.892551892551892578e+01,1.582519695614578205e-03,-3.251101805379799647e-01
1.904761904761904745e+01,8.922918376698778242e-04,-3.171390551238483790e-01
1.916971916971916912e+01,3.245548500436030081e-04,-3.094058796447053949e-01
1.929181929181929078e+01,-1.299195248176506694e-04,-3.019024354289080447e-01
1.941391941391941245e+01,-4.815533108152634622e-04,-2.946208209785960430e-01
1.953601953601953412e+01,-7.415976306291891494e-04,-2.875534387656953350e-01
1.965811965811965578e+01,-9.217964025436054453e-04,-2.806929825992233729e-01
1.978021978021978100e+01,-1.034080128819677520e-03,-2.740324255385216401e-01
1.990231990231990267e+01,-1.090291037416583897e-03,-2.675650083299493387e-01
2.002442002442002433e+01,-1.101940382589209049e-03,-2.612842283449962055e-01
2.014652014652014600e+01,-1.079998270639450286e-03,-2.551838289978234919e-01
2.026862026862026767e+01,-1.034715958456844560e-03,-2.492577896200897924e-01
2.039072039072038933e+01,-9.754801802464066994e-04,-2.435003157754559167e-01
2.051282051282051100e+01,-9.106986947153627521e-04,-2.379058299936771537e-01
2.063492063492063266e+01,-8.477159139348364181e-04,-2.324689629039405903e-01
2.075702075702075788e+01,-7.927571787014611260e-04,-2.271845447537192975e-01
2.087912087912087955e+01,-7.508999840502986797e-04,-2.220475972939272846e-01
2.100122100122100122e+01,-7.260702342346696302e-04,-2.170533260131151665e-01
2.112332112332112288e+01,-7.210614189210042772e-04,-2.121971127060698625e-01
2.124542124542124455e+01,-7.375744514592030929e-04,-2.074745083663557810e-01
2.136752136752136622e+01,-7.762757956616516807e-04,-2.028812263793456083e-01
2.148962148962148788e+01,-8.368714282503261423e-04,-1.984131360126356325e-01
2.161172161172160955e+01,-9.181941396460136092e-04,-1.940662561809433639e-01
2.173382173382173477e+01,-1.018301663824698654e-03,-1.898367494818316292e-01
2.185592185592185643e+01,-1.134583147868487192e-03,-1.857209164837882176e-01
2.197802197802197810e+01,-1.263871521165697148e-03,-1.817151902604994262e-01
2.210012210012209977e+01,-1.402559401388284426e-03,-1.778161311550439661e-01
2.222222222222222143e+01,-1.546716277058778110e-03,-1.740204217685253629e-01
2.234432234432234310e+01,-1.692204832697487022e-03,-1.703248621599559032e-01
2.246642246642246477e+01,-1.834794429392192644e-03,-1.667263652522048556e-01
2.258852258852258643e+01,-1.970269919015491065e-03,-1.632219524270865918e-01
2.271062271062271165e+01,-2.094534151065712783e-03,-1.598087493105484480e-01
2.283272283272283332e+01,-2.203702725166978640e-03,-1.564839817327358384e-01
2.295482295482295498e+01,-2.294189745695257143e-03,-1.532449718574410424e-01
2.307692307692307665e+01,-2.362783545969555400e-03,-1.500891344745653999e-01
2.319902319902319832e+01,-2.406711564155424379e-03,-1.470139734466819892e-01
2.332112332112331998e+01,-2.423693769272850049e-03,-1.440170783025326029e-01
2.344322344322344165e+01,-2.411984249503041321e-03,-1.410961209748054224e-01
2.356532356532356332e+01,-2.370400785192673838e-03,-1.382488526685795027e-01
2.368742368742368498e+01,-2.298342430791924795e-03,-1.354731008639341872e-01
2.380952380952381020e+01,-2.195795323027643648e-03,-1.327667664374145851e-01
2.393162393162393187e+01,-2.063327112791984302e-03,-1.301278209051273116e-01
2.405372405372405353e+01,-1.902070584675729986e-03,-1.275543037777965572e-01
2.417582417582417520e+01,-1.713697178292105825e-03,-1.250443200217843664e-01
2.429792429792429687e+01,-1.500381258284243235e-03,-1.225960376266393842e-01
2.442002442002441853e+01,-1.264756093786667795e-03,-1.202076852695244946e-01
2.454212454212454020e+01,-1.009862602519733801e-03,-1.178775500743580035e-01
2.466422466422466186e+01,-7.390919885540868850e-04,-1.156039754613734649e-01
2.478632478632478708e+01,-4.561234564751586807e-04,-1.133853590833603930e-01
2.490842490842490875e+01,-1.648582176151149330e-04,-1.112201508454677412e-01
2.503052503052503042e+01,1.306489826791974816e-04,-1.091068510025756388e-01
2.515262515262515208e+01,4.262595944022905302e-04,-1.070440083334640163e-01
2.527472527472527375e+01,7.178210510140956143e-04,-1.050302183883314033e-01
2.539682539682539542e+01,1.001235460745781430e-03,-1.030641218029796358e-01
