Frequency [Hz],FIR,IIR
3.431013431013430903e+01,1.004000946884769929e-03,-3.292422636656400919e-02
3.443223443223443070e+01,8.726373169033493742e-04,-3.251879750562070709e-02
3.455433455433455237e+01,7.339737983038822694e-04,-3.212135086541560020e-02
3.467643467643467403e+01,5.900714631705106889e-04,-3.173172927010368960e-02
3.479853479853479570e+01,4.430052704567836010e-04,-3.134977941180148303e-02
3.492063492063491736e+01,2.948348681200053554e-04,-3.097535174497526717e-02
3.504273504273503903e+01,1.475763846408263897e-04,-3.060830038403188763e-02
3.516483516483516070e+01,3.175587842514931104e-06,-3.024848300357380060e-02
3.528693528693528236e+01,-1.365172409225734842e-04,-2.989576074267519604e-02
3.540903540903541113e+01,-2.697704009803005725e-04,-2.954999811121776856e-02
3.553113553113553280e+01,-3.949915570033150263e-04,-2.921106289928159655e-02
3.565323565323565447e+01,-5.107459755695939159e-04,-2.887882608920767230e-02
3.577533577533577613e+01,-6.157720183074655686e-04,-2.855316177057573221e-02
3.589743589743589780e+01,-7.089937408210088060e-04,-2.823394705755685047e-02
3.601953601953601947e+01,-7.895304925554929047e-04,-2.792106200834685095e-02
3.614163614163614113e+01,-8.567034589535173347e-04,-2.761438954767775344e-02
3.626373626373626280e+01,-9.100391336339167230e-04,-2.731381539117613139e-02
3.638583638583638447e+01,-9.492697533040007560e-04,-2.701922797226109091e-02
3.650793650793650613e+01,-9.743307718107550950e-04,-2.673051837045096329e-02
3.663003663003662780e+01,-9.853554915416765439e-04,-2.644758024289461940e-02
3.675213675213674946e+01,-9.826670086347259660e-04,-2.617030975718327712e-02
3.687423687423687113e+01,-9.667676643633093701e-04,-2.589860552601694343e-02
3.699633699633699280e+01,-9.383262267088185622e-04,-2.563236854434989415e-02
3.711843711843711446e+01,-8.981630535411388614e-04,-2.537150212761810769e-02
3.724053724053723613e+01,-8.472335125245089148e-04,-2.511591185303807539e-02
3.736263736263736490e+01,-7.866099508636401755e-04,-2.486550550037603530e-02
3.748473748473748657e+01,-7.174625220679769393e-04,-2.462019299689773705e-02
3.760683760683760823e+01,-6.410391855278302266e-04,-2.437988636234967796e-02
