Sample,FIR,IIR
9.300000000000000000e+01,4.014958907017087200e-03,8.681630694544974127e-04
9.400000000000000000e+01,5.385773805115377094e-03,7.781360981211762418e-04
9.500000000000000000e+01,1.300363864054478701e-03,6.928231995821633677e-04
9.600000000000000000e+01,-3.046605076681767246e-03,6.121459413304668369e-04
9.700000000000000000e+01,-1.790431465408278420e-03,5.360150425112572472e-04
9.800000000000000000e+01,3.287547855568212669e-03,4.643316336651679820e-04
9.900000000000000000e+01,4.819308929055296682e-03,3.969884455960807869e-04
1.000000000000000000e+02,-1.260673499925480914e-17,3.338709288970708074e-04
1.010000000000000000e+02,-5.125909277429919857e-03,2.748583057998153778e-04
1.020000000000000000e+02,-3.719290293498747537e-03,2.198245561269142421e-04
1.030000000000000000e+02,2.154661233115378986e-03,1.686393392242801180e-04
1.040000000000000000e+02,3.900480564952607272e-03,1.211688538330746941e-04
1.050000000000000000e+02,-1.771376883077764846e-03,7.727663792857043866e-05
1.060000000000000000e+02,-7.807610878213583003e-03,3.682431060779672426e-05
1.070000000000000000e+02,-6.195433663542615141e-03,-3.277418501979222011e-07
1.080000000000000000e+02,6.695681544182454942e-04,-3.431973359725199742e-05
1.090000000000000000e+02,2.709767405272602448e-03,-6.529189832829357040e-05
1.100000000000000000e+02,-3.965554319522509620e-03,-9.338395770919409133e-05
1.110000000000000000e+02,-1.108358161812035732e-02,-1.187346369359390145e-04
1.120000000000000000e+02,-9.185397760533980938e-03,-1.414812252484034215e-04
1.130000000000000000e+02,-1.055072084370915417e-03,-1.617591792372211556e-04
1.140000000000000000e+02,1.397333859940255892e-03,-1.797017668043115004e-04
1.150000000000000000e+02,-6.488352126894436113e-03,-1.954397496659103734e-04
1.160000000000000000e+02,-1.492965365079368736e-02,-2.091011023208090276e-04
1.170000000000000000e+02,-1.263151608430318658e-02,-2.208107654453299990e-04
1.180000000000000000e+02,-2.839890099689182119e-03,-2.306904317197987740e-04
1.190000000000000000e+02,1.980541770934434777e-04,-2.388583621383623976e-04
1.200000000000000000e+02,-9.204539179081420996e-03,-2.454292309044556284e-04
1.210000000000000000e+02,-1.933694045326080080e-02,-2.505139970675494062e-04
1.220000000000000000e+02,-1.647717584087209780e-02,-2.542198011125790789e-04
1.230000000000000000e+02,-4.425417163180784055e-03,-2.566498847712380608e-04
1.240000000000000000e+02,-5.367847386442953618e-04,-2.579035323837303899e-04
1.250000000000000000e+02,-1.194776420027544167e-02,-2.580760322002537892e-04
1.260000000000000000e+02,-2.437974404472641188e-02,-2.572586560730855706e-04
1.270000000000000000e+02,-2.072063902326911136e-02,-2.555386560523660025e-04
1.280000000000000000e+02,-5.434101368511665836e-03,-2.529992764612193227e-04
1.290000000000000000e+02,-2.540324943432435418e-04,-2.497197800884657466e-04
1.300000000000000000e+02,-1.453462290006616621e-02,-2.457754871996120855e-04
1.310000000000000000e+02,-3.037743686477687582e-02,-2.412378261288436324e-04
1.320000000000000000e+02,-2.554263785533303702e-02,-2.361743942761776710e-04
1.330000000000000000e+02,-5.246468804630766321e-03,-2.306490283945934598e-04
1.340000000000000000e+02,2.068977065419236490e-03,-2.247218831116684743e-04
1.350000000000000000e+02,-1.678141922614799844e-02,-2.184495166888730106e-04
1.360000000000000000e+02,-3.837399515868300526e-02,-2.118849830790838157e-04
1.370000000000000000e+02,-3.169499812575723996e-02,-2.050779293989507188e-04
1.380000000000000000e+02,-2.529604253309869575e-03,-1.980746979873986339e-04
1.390000000000000000e+02,8.965397371491032330e-03,-1.909184322746770358e-04
1.400000000000000000e+02,-1.852178245324518843e-02,-1.836491857379131984e-04
1.410000000000000000e+02,-5.215945761569461270e-02,-1.763040332690248078e-04
1.420000000000000000e+02,-4.228162470458917549e-02,-1.689171843290493207e-04
1.430000000000000000e+02,7.330545276733710543e-03,-1.615200973094173720e-04
1.440000000000000000e+02,3.081344262416556290e-02,-1.541415945654069455e-04
1.450000000000000000e+02,-1.962313285491011292e-02,-1.468079776299410235e-04
1.460000000000000000e+02,-9.531911807560873584e-02,-1.395431421570298564e-04
1.470000000000000000e+02,-8.217337882367779789e-02,-1.323686921834996762e-04
1.480000000000000000e+02,7.357210264229543939e-02,-1.253040533352013999e-04
1.490000000000000000e+02,2.827163841300645575e-01,-1.183665846396644101e-04
1.500000000000000000e+02,3.800014255367892835e-01,-1.115716886411670188e-04
1.510000000000000000e+02,2.827163841300645575e-01,-1.049329195464601260e-04
1.520000000000000000e+02,7.357210264229543939e-02,-9.846208915992841646e-05
1.530000000000000000e+02,-8.217337882367779789e-02,-9.216937039583619935e-05
1.540000000000000000e+02,-9.531911807560873584e-02,-8.606339818251542166e-05
1.550000000000000000e+02,-1.962313285491011292e-02,-8.015136759895047781e-05
1.560000000000000000e+02,3.081344262416556290e-02,-7.443912910823729493e-05
1.570000000000000000e+02,7.330545276733710543e-03,-6.893128077488803454e-05
1.580000000000000000e+02,-4.228162470458917549e-02,-6.363125737395914153e-05
1.590000000000000000e+02,-5.215945761569461270e-02,-5.854141631955038120e-05
1.600000000000000000e+02,-1.852178245324518843e-02,-5.366312035840147915e-05
1.610000000000000000e+02,8.965397371491032330e-03,-4.899681699115130231e-05
1.620000000000000000e+02,-2.529604253309869575e-03,-4.454211459937279879e-05
1.630000000000000000e+02,-3.169499812575723996e-02,-4.029785527080620064e-05
