Frequency [Hz],Input,FIR out,IIR out
1.150000000000000000e+01,1.737984618735105613e+01,1.582730044022197546e+01,1.555285364496815603e+01
1.175000000000000000e+01,1.615256450192860349e+00,6.511061255414661630e+00,1.267865087303960747e+00
1.200000000000000000e+01,9.847519296447394765e+00,5.690364623100788499e+00,7.660520501116005576e+00
1.225000000000000000e+01,1.948598514049426456e+01,1.757809588674813384e+01,1.790736296665500760e+01
1.250000000000000000e+01,2.087863258108657050e+01,1.805523186238631084e+01,1.921444574359185609e+01
1.275000000000000000e+01,1.934038062967249516e+01,1.617865962096384891e+01,1.776469446188635715e+01
1.300000000000000000e+01,2.462477438196075141e+01,2.279891785551469496e+01,2.324497855742724539e+01
1.325000000000000000e+01,2.230623077927427644e+01,1.926857383038947447e+01,2.085596897239930314e+01
1.350000000000000000e+01,2.426660824247546699e+01,2.265634339313558598e+01,2.303382229462680897e+01
1.375000000000000000e+01,2.296301678093609411e+01,2.236390766964537136e+01,2.186122249832916964e+01
1.400000000000000000e+01,1.364886365758778375e+01,1.599567121668081882e+01,1.298639305152903134e+01
1.425000000000000000e+01,1.917161790310712632e+01,1.965173166722584952e+01,1.829574722713182311e+01
1.450000000000000000e+01,1.484344573893923602e+01,1.638011979681375863e+01,1.414403878856977492e+01
1.475000000000000000e+01,1.893419908103929217e+01,1.759084741156873832e+01,1.802439428717701375e+01
1.500000000000000000e+01,2.266703975567005358e+01,2.223369738526786321e+01,2.186275428504801610e+01
1.525000000000000000e+01,1.982333177847510086e+01,2.007669469343046131e+01,1.909710704807009307e+01
1.550000000000000000e+01,2.051816962265164790e+01,2.057346027971355085e+01,1.986277126905624968e+01
1.575000000000000000e+01,2.081357448830743451e+01,2.094753906081955819e+01,2.014389625058873889e+01
1.600000000000000000e+01,1.503250032552754512e+01,1.454565854492083155e+01,1.442066495919986480e+01
1.625000000000000000e+01,1.450576793910889783e+01,1.424716510610790010e+01,1.387741370940809027e+01
1.650000000000000000e+01,1.495246592141796071e+01,1.293978787574361178e+01,1.428108839933247509e+01
1.675000000000000000e+01,1.661492684549229537e+01,1.839995308167516441e+01,1.623121694803416659e+01
1.700000000000000000e+01,1.975811330024207635e+01,1.942545274271482469e+01,1.925967293833039307e+01
1.725000000000000000e+01,8.448594597944939721e+00,9.143205013998898067e+00,7.780593321786019700e+00
1.750000000000000000e+01,1.972437472863553509e+01,2.015057717427183803e+01,1.931311729409331690e+01
1.775000000000000000e+01,1.191998055790245559e+01,1.456333076774163615e+01,1.157036855078999693e+01
1.800000000000000000e+01,1.926278092587936186e+01,1.995367228262574244e+01,1.892027739279016885e+01
1.825000000000000000e+01,1.946187104698958237e+01,1.800037865222981281e+01,1.900655711473996945e+01
1.850000000000000000e+01,2.127942430406106666e+01,2.138335974689832497e+01,2.094202935307645319e+01
1.875000000000000000e+01,1.434984159996314013e+01,1.573674799207451613e+01,1.402322533823529582e+01
1.900000000000000000e+01,1.990045659143524759e+01,2.033576367634593396e+01,1.960528167461113824e+01
1.925000000000000000e+01,2.383653592954447475e+01,2.384835102457813250e+01,2.354334465373622010e+01
1.950000000000000000e+01,2.381853152658151984e+01,2.393608336059416075e+01,2.353670807306404811e+01
1.975000000000000000e+01,2.172415153904688978e+01,2.083284680869768835e+01,2.141014193932272036e+01
2.000000000000000000e+01,1.876862917326402780e+01,1.779323014564845806e+01,1.845568285185573387e+01
2.025000000000000000e+01,1.653225715247861416e+01,1.709915128696297160e+01,1.632010452423914870e+01
2.050000000000000000e+01,1.176470720861409447e+01,1.259022822138247300e+01,1.154453929315487137e+01
2.075000000000000000e+01,1.765220214500809703e+01,1.748107646973234353e+01,1.744102314655909325e+01
2.100000000000000000e+01,2.288199998220246911e+01,2.308252718123085856e+01,2.267020556624004968e+01
2.125000000000000000e+01,1.377169790858779663e+01,1.537407580227028170e+01,1.360123060501310377e+01
2.150000000000000000e+01,1.324383641667235167e+01,1.137430201821012510e+01,1.298677180408147791e+01
2.175000000000000000e+01,1.933495839700360719e+01,1.899587445401747487e+01,1.913312954816382216e+01
2.200000000000000000e+01,1.892744895637452984e+01,1.834691750557685097e+01,1.871912760998803194e+01
2.225000000000000000e+01,1.568157925321614066e+01,1.504283564492367375e+01,1.549556546288247816e+01
2.250000000000000000e+01,1.816301818943728819e+01,1.926188031388412014e+01,1.804663739801849687e+01
2.275000000000000000e+01,2.008732819604086473e+01,2.050544285611792716e+01,1.994715968664887029e+01
2.300000000000000000e+01,1.436375513319120145e+01,1.471813439242218635e+01,1.422679477321310415e+01
2.325000000000000000e+01,1.353448188125340934e+01,1.437012472689892029e+01,1.342172199416163103e+01
2.350000000000000000e+01,1.992888699047082923e+01,1.857960720185216275e+01,1.974958505514949536e+01
2.375000000000000000e+01,2.449049784640994432e+01,2.405756117183025111e+01,2.434079550282562110e+01
2.400000000000000000e+01,2.130644282329378569e+01,2.147829676939514343e+01,2.118012427241922069e+01
2.425000000000000000e+01,1.783439472694127303e+01,1.836345653276776346e+01,1.773555460145253093e+01
2.450000000000000000e+01,2.260116082345408728e+01,2.265221397945190063e+01,2.248050128392145908e+01
2.475000000000000000e+01,1.895616429443668238e+01,1.746897284759174696e+01,1.880827227017967473e+01
2.500000000000000000e+01,3.976050194180966724e+00,1.186062568956130114e+01,4.260666798355170926e+00
2.525000000000000000e+01,2.252980046341160758e+01,2.307510325009269536e+01,2.243820395413354873e+01
2.550000000000000000e+01,1.737908617595953231e+01,1.892345507309173769e+01,1.733550738346201570e+01
2.575000000000000000e+01,1.867029576909815702e+01,1.937856555287988414e+01,1.860269359773215569e+01
2.600000000000000000e+01,1.749253859052631910e+01,1.904056729397771619e+01,1.744091832551639598e+01
2.625000000000000000e+01,1.655038062161985479e+01,1.829788030329581972e+01,1.652017872628087858e+01
2.650000000000000000e+01,1.994299908741884408e+01,1.997800405768325760e+01,1.986157245521657444e+01
2.675000000000000000e+01,1.328961375175830639e+01,1.520292423378668367e+01,1.326366341832459561e+01
2.700000000000000000e+01,1.917386511123583404e+01,1.828897161491795842e+01,1.907690483159046835e+01
2.725000000000000000e+01,2.327278109681419593e+01,2.295253948082807582e+01,2.318397960670989022e+01
2.750000000000000000e+01,2.221842001495613772e+01,2.277611288543158707e+01,2.216646374503609707e+01
2.775000000000000000e+01,1.638057739879965879e+01,1.857844847844377156e+01,1.637110665831622214e+01
2.800000000000000000e+01,1.144079169024914222e+01,7.733261731710152631e+00,1.128321366807226234e+01
2.825000000000000000e+01,1.798016307323154095e+01,1.861537584953947189e+01,1.791845481232632054e+01
2.850000000000000000e+01,5.687891192056191869e+00,1.139276536968608688e+01,5.823333867079839798e+00
2.875000000000000000e+01,2.287157846467572142e+01,2.288379823193810125e+01,2.281629821735843677e+01
2.900000000000000000e+01,2.331401280308492829e+01,2.340823661983820614e+01,2.324933332846439882e+01
2.925000000000000000e+01,1.550370224619029891e+01,1.635409146499569388e+01,1.548723252698743025e+01
2.950000000000000000e+01,1.091028407738366113e+01,1.016092091728729940e+01,1.080755115960517898e+01
2.975000000000000000e+01,5.406936592836068201e+01,5.406582542086580645e+01,5.401512498045518385e+01
3.000000000000000000e+01,6.008903074949267875e+01,6.007999429879969711e+01,6.003495770443709745e+01
3.025000000000000000e+01,5.415776816437449526e+01,5.415193836859747023e+01,5.410386882828495914e+01
3.050000000000000000e+01,2.436026597545477657e+01,2.453106291436740349e+01,2.431962462968582983e+01
3.075000000000000000e+01,2.344385710851684479e+01,2.425555734812004260e+01,2.341185988105565485e+01
3.100000000000000000e+01,1.908313401650660879e+01,1.980076724273024524e+01,1.905769515596987063e+01
3.125000000000000000e+01,1.559142906220074387e+01,1.648820223395931706e+01,1.557636608432486014e+01
3.150000000000000000e+01,1.754951694060157052e+01,1.825849297032724294e+01,1.751362386662401605e+01
3.175000000000000000e+01,1.780174996178694968e+01,1.735276715979673057e+01,1.775879124151633093e+01
3.200000000000000000e+01,1.287081974542195972e+01,1.272258777864521839e+01,1.281272998432270604e+01
3.225000000000000000e+01,1.852798651527110962e+01,1.791082969570889105e+01,1.847715073151220722e+01
3.250000000000000000e+01,2.171615186649560414e+01,1.968101699781631808e+01,2.164058211664560716e+01
3.275000000000000000e+01,2.212030875521811879e+01,2.191676515095137745e+01,2.206967195062561871e+01
3.300000000000000000e+01,6.724050721646452899e+00,-3.163504834700526125e+00,6.503662397446861476e+00
3.325000000000000000e+01,1.653380987500799293e+01,1.693733198151600305e+01,1.651518151817708713e+01
3.350000000000000000e+01,1.679296738984731263e+01,1.677255606156893819e+01,1.675568740226448838e+01
3.375000000000000000e+01,1.609534507803450509e+01,1.737862845763646646e+01,1.608924191528288716e+01
3.400000000000000000e+01,1.577737006196831437e+01,1.603934075369469170e+01,1.575701609610166187e+01
3.425000000000000000e+01,1.645671990958183528e+01,1.437200216015511067e+01,1.638750345237053452e+01
3.450000000000000000e+01,2.156121376029341974e+01,2.118899940500294932e+01,2.151693993728360255e+01
3.475000000000000000e+01,6.603901484225770169e+00,6.189928570798071128e+00,6.417869258589713688e+00
3.500000000000000000e+01,1.842683614848287021e+01,1.834802908902481633e+01,1.839733388157247163e+01
3.525000000000000000e+01,1.549311026836741156e+01,1.682948689229149153e+01,1.548997095213584174e+01
3.550000000000000000e+01,2.240971377369164230e+01,2.164233833309052812e+01,2.236720812139006398e+01
3.575000000000000000e+01,2.108815426530856385e+01,2.109117281683720080e+01,2.106064629465773308e+01
3.600000000000000000e+01,1.425906875822883535e+01,1.664588979070941122e+01,1.428092067005129095e+01
3.625000000000000000e+01,1.562370802449048846e+01,1.289265883092276610e+01,1.555807134876132203e+01
3.650000000000000000e+01,2.002194458141723032e+01,2.005701251758374326e+01,1.999543775538803914e+01
3.675000000000000000e+01,2.052786862842474847e+01,1.962901768835718030e+01,2.048951862879406249e+01
3.700000000000000000e+01,2.118533222520377990e+01,2.091553240294171800e+01,2.115563885119336263e+01
3.725000000000000000e+01,1.806135954340167515e+01,1.870446302923194892e+01,1.805012082073904267e+01
3.750000000000000000e+01,1.265553571633827801e+01,1.462790326017509024e+01,1.267017471539536899e+01
3.775000000000000000e+01,1.316246054192826875e+01,1.418473122359712058e+01,1.315354024444172154e+01
3.800000000000000000e+01,1.702971912972525459e+01,1.758026237307183237e+01,1.701720584399005176e+01
3.825000000000000000e+01,2.138509353009774827e+01,2.077822099399485722e+01,2.135162793742283327e+01
3.850000000000000000e+01,2.150239101760366367e+01,2.093985879657120108e+01,2.147394046335803353e+01
3.875000000000000000e+01,2.172328708183841428e+01,2.270189804155503310e+01,2.171935630134818851e+01
3.900000000000000000e+01,2.013583842477966712e+01,2.145534193526844291e+01,2.013828566538589016e+01
3.925000000000000000e+01,1.575878288523220583e+01,1.570545851532372339e+01,1.573809430852020697e+01
3.950000000000000000e+01,1.737369927608563813e+01,1.708273099740595313e+01,1.734666393687895081e+01
3.975000000000000000e+01,2.508743489634312951e+01,2.510727059916268900e+01,2.506863456484598629e+01
4.000000000000000000e+01,2.601231119422460125e+01,2.617753613873154706e+01,2.599582554661573397e+01
4.025000000000000000e+01,2.214445373636818815e+01,2.366183815520400913e+01,2.215414333044957118e+01
4.050000000000000000e+01,2.171906796674100093e+01,2.242350353959782439e+01,2.171050485502357930e+01
4.075000000000000000e+01,1.827469709324441283e+01,1.993024691683414318e+01,1.828770877355353619e+01
4.100000000000000000e+01,2.021270601291493563e+01,2.078741343339036973e+01,2.020362295660653018e+01
4.125000000000000000e+01,9.363451114478110071e+00,1.346952579245072812e+01,9.423284679490411264e+00
4.150000000000000000e+01,1.058341904985787352e+01,8.929224992283735673e+00,1.053486549137788764e+01
4.175000000000000000e+01,1.687923235565774860e+01,1.666629189964589486e+01,1.685445808736141160e+01
4.200000000000000000e+01,2.200523531179877423e+01,2.101021820871434898e+01,2.197421133664864712e+01
4.225000000000000000e+01,2.217225524801179404e+01,2.192471898974003963e+01,2.215044494527537466e+01
4.250000000000000000e+01,1.890268316619593136e+01,1.689206130350176238e+01,1.884983741377741140e+01
4.275000000000000000e+01,2.451446493209688882e+01,2.399599217722847300e+01,2.448771127847194862e+01
4.300000000000000000e+01,1.566513253618090218e+01,1.156938807808347036e+01,1.559804731246507004e+01
4.325000000000000000e+01,1.874495719855087827e+01,1.862783211492079261e+01,1.872874557766859027e+01
4.350000000000000000e+01,1.420244450506561407e+01,1.381691290232133262e+01,1.417798369160004412e+01
4.375000000000000000e+01,1.501906886469013358e+01,1.461242784684674767e+01,1.499996406849390951e+01
4.400000000000000000e+01,1.773463225250663911e+01,1.801976621312872595e+01,1.772091958014868140e+01
4.425000000000000000e+01,1.477442975375062417e+01,1.168107358205073254e+01,1.472195090828284947e+01
4.450000000000000000e+01,1.015415288552114959e+01,1.380239207432340187e+00,1.005200217588755507e+01
4.475000000000000000e+01,2.441370498183827564e+01,2.450335075109036609e+01,2.439732177454549600e+01
4.500000000000000000e+01,2.341575886962544217e+01,2.341132484889178755e+01,2.340098212855729187e+01
4.525000000000000000e+01,8.543520272340190402e+00,1.291935350086838419e+01,8.608433911770148939e+00
4.550000000000000000e+01,2.360753822033525751e+01,2.329917173495321236e+01,2.358608342034433747e+01
4.575000000000000000e+01,2.083814307081409467e+01,1.895902498034109129e+01,2.079731732199536509e+01
4.600000000000000000e+01,2.089030217715066229e+01,1.996027082611769288e+01,2.086257741574953428e+01
4.625000000000000000e+01,2.082026457300212030e+01,2.065967906999432202e+01,2.080248421823088023e+01
4.650000000000000000e+01,9.356589542711663654e+00,8.667074929459916532e+00,9.320835042420908323e+00
4.675000000000000000e+01,-1.673607816704255846e+00,2.590081200540950590e+00,-1.636460216528155875e+00
4.700000000000000000e+01,1.411558122783973346e+01,1.231896957501052015e+01,1.407650090162985634e+01
4.725000000000000000e+01,1.958302884520446696e+01,1.861311713474485785e+01,1.955281512863128768e+01
4.750000000000000000e+01,1.921979113940230022e+01,2.003249417093060813e+01,1.921892768638471694e+01
4.775000000000000000e+01,1.952440679885469166e+01,1.970161169388055811e+01,1.951028879566128538e+01
