Frequency [Hz],FIR,IIR
1.483516483516483575e+01,1.500000000000007958e+02,1.332143506651084941e+01
1.495726495726495742e+01,1.500000000000007958e+02,1.312632435797003971e+01
1.507936507936507908e+01,1.499999999999984936e+02,1.293476794579883737e+01
1.520146520146520075e+01,1.500000000000011937e+02,1.274672896596667293e+01
1.532356532356532242e+01,1.500000000000003979e+02,1.256216787144215274e+01
1.544566544566544586e+01,1.499999999999988916e+02,1.238104274504531332e+01
1.556776556776556752e+01,1.500000000000011937e+02,1.220330958848435010e+01
1.568986568986568919e+01,1.499999999999984936e+02,1.202892259217840198e+01
1.581196581196581086e+01,1.500000000000007958e+02,1.185783438524797262e+01
1.593406593406593430e+01,1.499999999999984936e+02,1.168999626728058594e+01
1.605616605616605597e+01,1.500000000000007958e+02,1.152535842206189187e+01
1.617826617826617763e+01,1.500000000000011937e+02,1.136387011435334848e+01
1.630036630036629930e+01,1.499999999999984936e+02,1.120547987162228054e+01
1.642246642246642097e+01,1.500000000000007958e+02,1.105013565068280812e+01
1.654456654456654263e+01,1.500000000000011937e+02,1.089778499025350911e+01
1.666666666666666430e+01,1.500000000000000000e+02,1.074837515034780822e+01
1.678876678876678952e+01,1.499999999999988916e+02,1.060185324021396269e+01
1.691086691086691118e+01,1.500000000000007958e+02,1.045816633338163726e+01
1.703296703296703285e+01,1.500000000000007958e+02,1.031726157352180273e+01
1.715506715506715452e+01,1.499999999999988916e+02,1.017908626957172835e+01
1.727716727716727618e+01,1.500000000000007958e+02,1.004358798111246287e+01
1.739926739926739785e+01,1.499999999999984936e+02,9.910714596657102859e+00
1.752136752136751952e+01,1.500000000000011937e+02,9.780414402076118563e+00
1.764346764346764473e+01,1.499999999999976978e+02,9.652636142807390129e+00
1.776556776556776640e+01,1.500000000000011937e+02,9.527329079414140978e+00
1.788766788766788807e+01,1.499999999999988916e+02,9.404443035241243365e+00
1.800976800976800973e+01,1.500000000000007958e+02,9.283928440215493794e+00
1.813186813186813140e+01,1.499999999999988916e+02,9.165736367604692347e+00
1.825396825396825307e+01,1.500000000000007958e+02,9.049818567017325677e+00
1.837606837606837473e+01,1.500000000000007958e+02,8.936127492038712816e+00
1.849816849816849640e+01,1.499999999999988916e+02,8.824616323890863256e+00
1.862026862026861806e+01,1.500000000000000000e+02,8.715238991573791338e+00
1.874236874236874328e+01,1.500000000000011937e+02,8.607950187946123322e+00
1.886446886446886495e+01,1.499999999999984936e+02,8.502705383466926392e+00
1.898656898656898662e+01,1.500000000000007958e+02,8.399460835467769115e+00
1.910866910866910828e+01,1.499999999999988916e+02,8.298173596878086755e+00
1.923076923076922995e+01,1.500000000000007958e+02,8.198801520663208109e+00
1.935286935286935162e+01,1.499999999999984936e+02,8.101303263014212774e+00
1.947496947496947328e+01,1.500000000000011937e+02,8.005638284365520718e+00
1.959706959706959495e+01,1.500000000000007958e+02,7.911766848813735820e+00
1.971916971916972017e+01,1.500000000000003979e+02,7.819650021470806678e+00
1.984126984126984183e+01,1.499999999999984936e+02,7.729249664625148064e+00
1.996336996336996350e+01,1.500000000000007958e+02,7.640528432909628798e+00
2.008547008547008517e+01,1.499999999999992895e+02,7.553449766843756130e+00
2.020757020757020683e+01,1.500000000000007958e+02,7.467977885580783237e+00
2.032967032967032850e+01,1.500000000000007958e+02,7.384077778511750623e+00
2.045177045177045017e+01,1.499999999999984936e+02,7.301715196974763344e+00
2.057387057387057183e+01,1.500000000000007958e+02,7.220856643529921293e+00
2.069597069597069350e+01,1.500000000000000000e+02,7.141469362514090591e+00
2.081807081807081872e+01,1.499999999999992895e+02,7.063521329078971789e+00
2.094017094017094038e+01,1.500000000000007958e+02,6.986981237684833701e+00
2.106227106227106205e+01,1.500000000000007958e+02,6.911818490449421759e+00
2.118437118437118372e+01,1.499999999999984936e+02,6.838003185763414038e+00
2.130647130647130538e+01,1.500000000000007958e+02,6.765506105457163244e+00
2.142857142857142705e+01,1.499999999999992895e+02,6.694298702892500508e+00
2.155067155067154872e+01,1.499999999999992895e+02,6.624353090077040207e+00
2.167277167277167393e+01,1.500000000000000000e+02,6.555642025309819765e+00
2.179487179487179560e+01,1.500000000000007958e+02,6.488138900164305056e+00
2.191697191697191727e+01,1.500000000000007958e+02,6.421817727236861728e+00
2.203907203907203893e+01,1.500000000000007958e+02,6.356653126775212215e+00
2.216117216117216060e+01,1.499999999999992895e+02,6.292620314361969669e+00
2.228327228327228227e+01,1.499999999999984936e+02,6.229695088134222125e+00
2.240537240537240393e+01,1.500000000000007958e+02,6.167853816311795079e+00
2.252747252747252560e+01,1.500000000000007958e+02,6.107073424383328231e+00
2.264957264957264726e+01,1.500000000000000000e+02,6.047331382965011493e+00
2.277167277167277248e+01,1.499999999999992895e+02,5.988605695575402343e+00
2.289377289377289415e+01,1.500000000000007958e+02,5.930874886223830522e+00
2.301587301587301582e+01,1.499999999999984936e+02,5.874117987797308871e+00
2.313797313797313748e+01,1.500000000000007958e+02,5.818314530093876336e+00
2.326007326007325915e+01,1.500000000000007958e+02,5.763444527960366770e+00
2.338217338217338082e+01,1.500000000000007958e+02,5.709488470448239816e+00
2.350427350427350248e+01,1.499999999999992895e+02,5.656427308877531424e+00
2.362637362637362415e+01,1.499999999999984936e+02,5.604242446303672409e+00
2.374847374847374937e+01,1.500000000000000000e+02,5.552915726219316284e+00
2.387057387057387103e+01,1.500000000000007958e+02,5.502429422275258553e+00
2.399267399267399270e+01,1.500000000000015916e+02,5.452766227673038202e+00
2.411477411477411437e+01,1.499999999999961631e+02,5.403909244684676594e+00
2.423687423687423603e+01,1.500000000000007958e+02,5.355841975013587053e+00
2.435897435897435770e+01,1.500000000000007958e+02,5.308548309712522340e+00
2.448107448107447937e+01,1.500000000000007958e+02,5.262012519599123195e+00
2.460317460317460103e+01,1.500000000000007958e+02,5.216219245766965606e+00
2.472527472527472270e+01,1.500000000000007958e+02,5.171153490523416885e+00
2.484737484737484792e+01,1.499999999999961631e+02,5.126800608326194997e+00
2.496947496947496958e+01,1.500000000000054285e+02,5.083146296906317474e+00
2.509157509157509125e+01,1.499999999999961631e+02,5.040176588758410681e+00
2.521367521367521292e+01,1.500000000000007958e+02,4.997877842763219114e+00
2.533577533577533458e+01,1.500000000000015916e+02,4.956236735768539070e+00
2.545787545787545625e+01,1.500000000000007958e+02,4.915240254947216059e+00
2.557997557997557792e+01,1.499999999999961631e+02,4.874875689638803244e+00
2.570207570207570313e+01,1.500000000000000000e+02,4.835130624067118355e+00
2.582417582417582480e+01,1.500000000000007958e+02,4.795992929440198616e+00
2.594627594627594647e+01,1.500000000000015916e+02,4.757450757273121056e+00
2.606837606837606813e+01,1.500000000000007958e+02,4.719492531763989085e+00
2.619047619047618980e+01,1.499999999999969589e+02,4.682106943379650943e+00
2.631257631257631147e+01,1.500000000000007958e+02,4.645282941749233174e+00
2.643467643467643313e+01,1.500000000000007958e+02,4.609009729387505416e+00
2.655677655677655480e+01,1.500000000000007958e+02,4.573276755070692978e+00
2.667887667887667646e+01,1.500000000000007958e+02,4.538073707954803027e+00
2.680097680097680168e+01,1.499999999999961631e+02,4.503390511133808616e+00
2.692307692307692335e+01,1.500000000000007958e+02,4.469217315930714918e+00
2.704517704517704502e+01,1.500000000000007958e+02,4.435544496285710458e+00
2.716727716727716668e+01,1.500000000000007958e+02,4.402362642811343818e+00
2.728937728937728835e+01,1.500000000000015916e+02,4.369662557630467958e+00
2.741147741147741002e+01,1.499999999999961631e+02,4.337435248956517775e+00
2.753357753357753168e+01,1.500000000000007958e+02,4.305671925871882522e+00
2.765567765567765335e+01,1.500000000000007958e+02,4.274363993463533795e+00
2.777777777777777857e+01,1.500000000000000000e+02,4.243503047637787517e+00
2.789987789987790023e+01,1.500000000000015916e+02,4.213080870568254532e+00
2.802197802197802190e+01,1.500000000000007958e+02,4.183089426071195938e+00
2.814407814407814357e+01,1.499999999999961631e+02,4.153520854929139361e+00
